Question,Answer
"The following equipment is used for crushing and grinding of minerals in the preparation of traditional ceramics raw materials. Which one of the pieces listed is used for grinding? (a) ball mill, (b) hammer mill, (c) jaw crusher, or (d) roll crusher.",Answer. (a)
"Which one of the following compounds becomes a plastic and formable material when mixed with suitable proportions of water? (a) aluminum oxide, (b) hydrogen oxide, (c) hydrous aluminum silicate, or (d) silicon dioxide.",Answer. (c)
"At which one of the following water contents does clay become a suitably plastic material for the traditional ceramics plastic forming processes? (a) 5%, (b) 10%, (c) 20%, or (d) 40%.",Answer. (c)
"Which of the following processes are not plastic forming methods used in the shaping of traditional ceramics (more than one)? (a) extrusion, (b) jangling, (c) jiggering, (d) jolleying, or (e) spinning.",Answer. (b) and (c)
"The term green piece in ceramics refers to a part that has been shaped but not yet fired: (a) true, or (b) false.",Answer. (a)
"In the final product made of a polycrystalline new ceramic material, strength increases with grain size: (a) true, or (b) false.",Answer. (b)
"Which one of the following processes for the new ceramic materials accomplishes shaping and sintering simultaneously? (a) doctor-blade process, (b) freeze drying, (c) hot pressing, (d) injection molding, or (e) isostatic pressing.",Answer. (c)
"Which of the following are not the purposes of finishing operations used for parts made of the new ceramics (more than one)? (a) apply a surface coating, (b) improve surface finish, (c) increase dimensional accuracy, (d) remove material, or (e) work harden the surface.",Answer. (a) and (e)
"Which one of the following terms best describes what a cemented carbide is? (a) ceramic, (b) cermet, (c) composite, or (d) metal.",Answer. (b)
"Which of the following geometric features should be avoided if possible in the design of structural components made of new ceramics (more than one)? (a) complicated shapes, (b) rounded inside corners, (c) sharp edges, (d) thin sections, or (e) threads.","Answer. (a), (c), (d), and (e)"
