Question,Answer
"A tolerance is which one of the following? (a) clearance between a shaft and a mating hole, (b) measurement error, (c) total permissible variation from a specified dimension, or (d) variation in manufacturing.",Answer. (c)
"Which of the following two geometric terms have the same meaning? (a) circularity, (b) concentricity, (c) cylindricity, and (d) roundness.",Answer. (a) and (d).
"Surface texture includes which of the following characteristics of a surface (may be more than one)? (a) deviations from the nominal surface, (b) feed marks of the tool that produced the surface, (c) hardness variations, (d) oil films, and (e) surface cracks.","Answer. (a), (b), and (e)."
"Which averaging method generally yields the higher value of surface roughness, (a) AA or (b) RMS?",Answer. (b)
Surface texture is included within the scope of surface integrity: (a) true or (b) false.,Answer. (a)
"Thermal energy is normally associated with which of the following changes in the altered layer? (a) cracks, (b) hardness variations, (c) heat affected zone, (d) plastic deformation, (e) recrystallization, or (f) voids.","Answer. (b), (c), and (e)."
"A better finish (lower roughness value) will tend to have which of the following effects on fatigue strength of a metal surface? (a) increase, (b) decrease, or (c) no effect.",Answer. (b)
"Which of the following are included within the scope of surface integrity? (a) chemical absorption, (b) microstructure near the surface, (c) microcracks beneath the surface, (d) substrate microstructure, (e) surface roughness, or (f) variation in tensile strength near the surface.","Answer. (a), (b), (c), (e), and (f)"
"Which one of the following manufacturing processes will likely result in the best surface finish? (a) arc welding, (b) grinding, (c) machining, (d) sand casting, or (e) sawing.",Answer. (b)
"Which one of the following manufacturing processes will likely result in the worst surface finish? (a) cold rolling, (b) grinding, (c) machining, (d) sand casting, or (e) sawing.","Answer. (d). Also, sawing (e) will yield a poor finish. Accept either answer."
