Question,Answer
"The basic structural unit of matter is which one of the following? (a) atom, (b) electron, (c) element, (d) molecule, or (e) nucleus.",Answer. (a)
"Approximately how many different elements have been identified (one answer)? (a) 10, (b) 50, (c) 100, (d) 200, or (e) 500.",Answer. (c)
"In the Periodic Table, the elements can be divided into which of the following categories (more than one)? (a) ceramics, (b) gases, (c) liquids, (d) metals, (e) nonmetals, (f) polymers, (g) semi-metals, and (h) solids.","Answer. (d), (e), and (g)."
"The element with the lowest density and smallest atomic weight is which one of the following? (a) aluminum, (b) argon, (c) helium, (d) hydrogen, or (e) magnesium.",Answer. (d)
"Which of the following bond types are classified as primary bonds (more than one)? (a) covalent bonding, (b) hydrogen bonding, (c) ionic bonding, (d) metallic bonding, and (e) van der Waals forces.","Answer. (a), (c), and (d)."
"How many atoms are there in the unit cell of the face- centered cubic (FCC) unit cell (one answer)? (a) 8, (b) 9, (c) 10, (d) 12, or (e) 14.",Answer. (e)
"Which of the following are not point defects in a crystal lattice structure (more than one)? (a) edge dislocation, (b) interstitialcy, (c) Schottky defect, or (d) vacancy.","Answer. (b), (c), (d)"
"Which one of the following crystal structures has the fewest slip directions and therefore the metals with this structure are generally more difficult to deform at room temperature? (a) BCC, (b) FCC, or (c) HCP.",Answer. (c)
"Grain boundaries are an example of which one of the following types of crystal structure defects? (a) dislocation, (b) Frenkel defect, (c) line defects, (d) point defects, or (e) surface defects.",Answer. (e)
"Twinning is which of the following (more than one)? (a) elastic deformation, (b) mechanism of plastic deformation, (c) more likely at high deformation rates, (d) more likely in metals with HCP structure, (e) slip mechanism, and (f) type of dislocation.","Answer. (b), (c), and (d)."
"Polymers are characterized by which of the following bonding types (more than one)? (a) adhesive, (b) covalent, (c) hydrogen, (d) ionic, (e) metallic, and (f) van der Waals.",Answer. (b) and (f).
