Question,Answer
"Which of the following properties or characteristics are inconsistent with the metals (more than one)? (a) good thermal conductivity, (b) high strength, (c) high electrical resistivity, (d) high stiffness, or (e) ionic bonding.",Answer. (c) and (e).
"Which of the metallic elements is the most abundant on the earth? (a) aluminum, (b) copper, (c) iron, (d) magnesium, or (e) silicon.",Answer. (a)
"The predominant phase in the iron-carbon alloy system for a composition with 99% Fe at room temperature is which of the following? (a) austenite, (b) cementite, (c) delta, (d) ferrite, or (e) gamma.",Answer. (d)
"A steel with 1.0% carbon is known as which of the following: (a) eutectoid, (b) hypoeutectoid, (c) hypereutectoid, or (d) wrought iron.",Answer. (c)
The strength and hardness of steel increases as carbon content increases: (a) true of (b) false.,Answer. (a)
"Plain carbon steels are designated in the AISI code system by which of the following? (a) 01XX, (b) 10XX, (c) 11XX, (d) 12XX, or (e) 30XX.",Answer. (b)
"Which of the following elements is the most important alloying ingredient in steel? (a) carbon, (b) chromium, (c) nickel, (d) molybdenum, or (e) vanadium.",Answer. (a)
"Which of the following is not a common alloying ingredient in steel? (a) chromium, (b) manganese, (c) nickel, (d) vanadium, (e) zinc.",Answer. (e)
Solid solution alloying is the principal strengthening mechanism in high-strength low-alloy (HSLA) steels: (a) true or (b) false.,Answer. (a)
"Which of the following alloying elements are most commonly associated with stainless steel (name two)? (a) chromium, (b) manganese, (c) molybdenum, (d) nickel, and (e) tungsten.",Answer. (a) and (d).
"Which of the following is the most important cast iron commercially? (a) ductile cast iron, (b) gray cast iron, (c) malleable iron, or (d) white cast iron.",Answer. (b)
"Which of the following metals has the lowest density? (a) aluminum, (b) magnesium, (c) tin, or (d) titanium.",Answer. (b)
"Which of the following metals has the highest density? (a) gold, (b) lead, (c) platinum, (d) silver, or (e) tungsten.",Answer. (c)
"From which of the following ores is aluminum derived? (a) alumina, (b) bauxite, (c) cementite, (d) hematite, or (e) scheelite.",Answer. (b)
"Which of the following metals possess good electrical conductivity (more than one)? (a) aluminum, (b) copper, (c) gold, (d) silver, or (e) tungsten.","Answer. (a), (b), (c), and (d)."
"Traditional brass is an alloy of which of the following metallic elements? (a) aluminum, (b) copper, (c) gold, (d) tin, (e) zinc.",Answer. (b) and (e).
"Which of the following has the lowest melting point? (a) aluminum, (b) lead, (c) magnesium, (d) tin, or (e) zinc.",Answer. (d)
