Question,Answer
What are some of the reasons why the plastic shaping processes are important?,"Answer. Some of the reasons are: (1) many of the processes are net shape processes; (2) in general, less energy employed than in metalworking processes; (3) lower temperatures are required to process plastics than metals or ceramics; (4) great flexibility in geometry; and (5) painting and other finishing processes generally not required."
"Identify the main categories of plastics shaping processes, as classified by the resulting product geometry.","Answer. The categories are: (1) extrusion, (2) molding, (3) forming of continuous sheets and films, (4) fibers, (5) foamed products, and (6) discrete formed sheets and films."
Viscosity is an important property of a polymer melt in plastics shaping processes. Upon what parameters does viscosity depend?,"Answer. Viscosity of a polymer melt depends on: (1) temperature, and (2) shear rate. Of course, (3) the molecular weight of the polymer also affects viscosity."
How does the viscosity of a polymer melt differ from most fluids that are Newtonian.,"Answer. A polymer melt exhibits pseudoplasticity, which means that its value decreases with increasing shear rate."
"Besides viscosity, what other properties of a polymer melt are important in plastics processing? Briefly define each of the properties identified.","Answer. Other properties include: viscoelasticity, a combination of viscous and elastic properties which cause the melt to exhibit memory - the tendency to return to its previous shape, as exhibited by die swell in extrusion."
Define die swell in extrusion.,Answer. Die swell is the tendency of the extrudate to expand in cross-section dimensions immediately on exiting the die orifice. It results from the viscoelastic properties of the polymer melt.
Briefly describe the plastic extrusion process.,"Answer. In plastic extrusion, a polymer melt is compressed to flow through a die orifice and thus the continuous length of the plastic assumes a cross-sectional shape that is approximately the same as the profile of the orifice."
The barrel and screw of an extruder are generally divided into three sections; identify the sections.,"Answer. (1) feed section, in which the feed stock is fed from the hopper and heated; (2) compression section, in which the polymer changes to a viscous fluid; and (3) metering section, in which pressure is developed to pump the plastic through the die orifice."
What are the functions of the screen pack and breaker plate at the die end of the extruder barrel?,"Answer. The functions are: (1) filter dirt and lumps, (2) build pressure, (3) straighten the flow and remove memory."
What are the various forms of extruded shapes and corresponding dies?,"Answer. (1) solid profiles, such as rounds and L-shapes; (2) hollow profiles, such as tubes; (3) wire and cable coating; (4) sheet and film; and (5) filaments (continuous fibers)."
What is the distinction between plastic sheet and film?,"Answer. Thickness. Sheet stock has a thickness greater than 0.020 in (0.5 mm), while film stock is less than 0.020 in (0.5 mm) thick."
What is the blown-film process for producing film stock?,Answer. The blown-film process is a widely used process for making thin polyethylene film for packaging. It combines extrusion and blowing to produce a tube of thin film. The process begins with the extrusion of a tube which is immediately drawn upward while still molten and simultaneously expanded in size by air inflated into it through the die mandrel.
Describe the calendering process.,"Answer. Calendering is a process for producing sheet and film stock out of rubber or rubbery thermoplastics such as plasticized PVC. In the process, the initial feedstock is passed through a series of rolls to work the material and reduce its thickness to the desired gage."
Polymer fibers and filaments are used in several applications; what is the most important application?,Answer. Textiles.
"Technically, what is the difference between a fiber and a filament?","Answer. A fiber is a long, thin strand of material whose length is at least 100 times its diameter; a filament is a fiber of continuous length."
"Among the synthetic fiber materials, which are the most important?","Answer. Polyester is the most important commercially, followed by nylon, acrylics, and rayon."
