chapter,question_number,Question,Answer
23,23.11,"23.11 In the tool wear plots of Figure 23.4, complete failure of the cutting tool is indicated by the end of each wear curve. Using complete failure as the criterion of tool life instead of 0.50 mm flank wear, the resulting data are: (1) v = 160 m/min, T = 5.75 min; (2) v = 130 m/min, T = 14.25 min; and (3) v  = 100 m/min, T = 47 min. Determine the parameters n and C in the Taylor tool life equation for this data.","Solution: Let us use the two extreme data points to calculate the values of n and C, then check the resulting equation against the middle data point. (1) 160(5.75)n = C and (3) 100(47)n = C 160(5.75)n = 100(47)n ln 160 + n ln 5.75 = ln 100 + n ln 47 5.0752 + 1.7492 n = 4.6052 + 3.8501 n 0.4700 = 2.1009 n n = 0.224  (1) C = 160(5.75)0.224 = 236.7  (3) C = 100(47)0.224 = 236.9 use average: C = 236.8   Check against data set (2): 130(14.25)0.224 = 235.7. This represents a difference of less than 0.5%, which would be considered good agreement for experimental data. Better results on determining the Taylor equation would be obtained by using regression analysis on all three data sets to smooth the variations in the tool life data. Note that the n value is very close to the value obtained in Example"
23,23.12,"23.12 The Taylor equation for a certain set of test conditions is vT.25 = 1000, where the U.S. customary units are used: ft/min for v and min for T. Convert this equation to the equivalent Taylor equation in the International System of units (metric), where v is in m/sec and T is in seconds. Validate the metric equation using a tool life = 16 min. That is, compute the corresponding cutting speeds in ft/min and m/sec using the two equations.","Solution: vT0.25 = 1000(Tref)0.25 C = 1000 ft/min for a 1.0 min tool life; ft/min converts to m/s as (1000 ft/min)(0.3048m/ft)(1 min/60 s) = 5.08 m/s Tref = 1 min = 60 s. (Tref)0.25 = (60)0.25 = 2.78316 The converted value of C = 5.08(2.78316) = 14.14 The converted equation is: vT0.25 = 14.14, where v = m/s and T = s. Check both equations at T = 16 min = 960 s. USCU: v = 1000/160.25 = 1000/2 = 500 ft/min SI: v = 14.14/9600.25 = 14.14/5.566 = 2.54 m/s Check: (500 ft/min)( 0.3048m/ft)(1 min/60 s) = 2.54 m/s Q.E.D."
23,23.22,"23.22 mm/rev, tool life = 47 min; and (3) cutting speed = 1.9 m/s, feed = 0.32 mm/rev, tool life = 8 min. (a) Determine n, m, and K. (b) Using your equation, compute the tool life when the cutting speed is 1.5 m/s and the feed is 0.28 mm/rev.",Solution: Three equations to be solved simultaneously: (1) (1.9 x 60)(10)n(0.22)m = K  (2) (1.3 x 60)(47)n(0.22)m = K  (3) (1.9 x 60)(8)n(0.32)m = K  (1) and (2): ln 114 + n ln 10 + m ln 0.22 = ln 78 + n ln 47 + m ln 0.22 ln 114 + n ln 10 = ln 78 + n ln 47
23,23.01,"23.01 5 in/rev, T = 8 min. Determine n, m, and K. What is the physical interpretation of the constant K?",Solution: Three equations to be solved simultaneously: (1) 400(10)n(0.010)m = K  (2) 300(35)n(0.010)m = K  (3) 400(8)n(0.015)m = K  (1) and (2): ln 400 + n ln 10 + m ln 0.010 = ln 300 + n ln 35 + m ln 0.010 ln 400 + n ln 10 = ln 300 + n ln 35 5.9915 + 2.3026 n = 5.7038 + 3.5553 n 0.2877 = 1.2527 n n = 0.2297  (1) and (3): ln 400 + n ln 10 + m ln 0.010 = ln 400 + n ln 8 + m ln 0.015 n ln 10 + m ln 0.010 = n ln 8 + m ln 0.015 0.2297(2.3026) + m (-4.6052) = 0.2297(2.0794) + m (-4.1997) 0.2297(2.3026 -2.0794) = m(-4.1997 + 4.6052) 0.05127 = 0.4055 m m = 0.1264  (1) K = 400(10)0.2297(0.010)0.1264 = 400(1.6971)(0.5587) = 379.3  (2) K = 300(35)0.2297(0.010)0.1264 = 300(2.2629)(0.5587) = 379.3  (3) K = 400(8)0.2297(0.015)0.1264 = 400(1.6123)(0.5881) = 379.3 K = 379.3   The constant K represents the cutting speed (ft/min) for a 1.0 minute tool life at a feed rate of 1.0 in/rev. This feed is of course an extrapolation and not a real possible feed value.
23,23.15,"23.15 The n and C values in Table 23.2 are based on a feed rate of 0.25 mm/rev and a depth of cut = 2.5 mm. Determine how many cubic mm of steel would be removed for each of the following tool materials, if a 10-min tool life were required in each case: (a) plain carbon steel, (b) high speed steel, (c) cemented carbide, and (d) ceramic. Use of a spreadsheet calculator is recommended.","Solution: (a) Plain carbon steel: n = 0.10, C = 20 m/min v = 20/100.1 = 20/1.259 = 15.886 m/min RMR = 15.886(103)(0.25)(2.50) = 9.9288(103) m3/min For 10 min, metal removed = 10(9.9288)(103) = 99.288(103) mm3 (b) HSS: n = 0.125, C = 70 m/min v = 70/100.125 = 70/1.333 = 52.513 m/min RMR = 52.513(103)(0.25)(2.50) = 32.821(103) mm3/min For 10 min, metal removed = 10(32.821(103)) = 328.21(103) mm3 (c) Cemented carbide: n = 0.25, C = 500 m/min v = 500/100.25 = 500/1.778 = 281.215 m/min RMR = 281.215(103)(0.25)(2.50) = 175.759(103) mm3/min For 10 min, metal removed = 10(175.759(103)) = 1,757.59(103)) mm3  (d) Ceramic: n = 0.60, C = 3000 m/min v = 3000/100.6 = 3000/3.981 = 753.58 m/min RMR = 753.58 (103)(0.25)(2.50) = 470.987(103) mm3/min For 10 min, metal removed = 10(470.987 (103)) = 4,709.87(103) mm3"
23,23.16,"23.16 A drilling operation is performed in which 0.5 in diameter holes are drilled through cast iron plates that are 1.0 in thick. Sample holes have been drilled to determine the tool life at two cutting speeds. At 80 surface ft/min, the tool lasted for exactly 50 holes. At 120 surface ft/min, the tool lasted for exactly 5 holes. The feed of the drill was 0.003 in/rev. (Ignore effects of drill entrance and exit from the hole. Consider the depth of cut to be exactly 1.00 in, corresponding to the plate thickness.) Determine the values of n and C in the Taylor tool life equation for the above sample data, where cutting speed v is expressed in ft/min, and tool life T is expressed in min.","Solution: (1) v = 80 ft/min, N = (80)/(0.5/12) = 611 rev/min feed rate fr = (0.003)(611) = 1.833 in/min time per hole Tm = 1.0 in/(1.833 in/min) = 0.545 min for 50 holes, T = 50(0.545 min) = 27.25 min Formulating the data as vTn = C, we have: 80(27.25)n = C (2) v = 120 ft/min, N = (120)/(.5/12) = 917 rev/min feed rate fr = (0.003)(917) = 2.75 in/min time per hole Tm = 1.0 in/(2.75 in/min) = 0.364 min for 5 holes, T = 5(0.364 min) = 1.82 min Formulating the data as vTn = C, we have: 120(1.82)n = C Setting (1) = (2): 80(27.25)n = 120(1.82)n ln 80 + n ln 27.25 = ln 120 + n ln 1.82"
23,23.24,23.24 and C = 450. Units for the Taylor equation are min for tool life and m/min for cutting speed. Compute the cutting speed that will allow the tool life to be just equal to the cutting time for this part.,"Solution: In this problem we want Tm = T, where Tm = machining time per piece and T = tool life. Both of these times must be expressed in terms of cutting speed. Tm = DL/fv and T = (C/v)1/n Tm = (400)(1100)(10-6)/0.35(10-3)v = 3949/v = 3949 (v)-1 T = (450/v)1/.24 = (450/v)4.1667 = 4504.1667(v)-4.1667 = 1135(108)(v)-4.1667 -1 = 1135(108)(v)-4.1667 Setting Tm = T: 3949 v"
23,23.18,"23.18 The outside diameter of a roll for a steel rolling mill is to be turned. In the final pass, the starting diameter = 26.25 in and the length = 48.0 in. The cutting conditions will be: feed = 0.0125 in/rev, and depth of cut = 0.125 in. A cemented carbide cutting tool is to be used and the parameters of the Taylor tool life equation for this setup are: n = 0.25 and C = 1300. Units for the Taylor equation are min for tool life and ft/min for cutting speed. It is desirable to operate at a cutting speed so that the tool will not need to be changed during the cut. Determine the cutting speed that will make the tool life equal to the time required to complete the turning operation.","Solution: In this problem we want Tm = T, where Tm = machining time per piece and T = tool life. Both of these times must be expressed in terms of cutting speed. Tm = DL/12fv and T = (C/v)1/n Tm = (26.25)(48.0)/12(0.0125)v = 26,389.38/v = 26,389.38(v)-1 T = (1300/v)1/.25 = (1300/v)4.0 = 13004.0(v)-4.0 = 2.8561(1012)(v)-4.0 Setting Tm = T: 26,389.38(v)-1= 2.8561(1012)(v)-4.0 v3.0 = 1.08229(108) v = {1.08229(108)}1/3 = {1.08229(108)}0.3333 = 476.56 ft/min Check: Tm = 26,389.38 (476.56)-1= 55.375 min T = (1300/476.56)1/.25 = (1300/476.56)4.0 = 55.375 min"
23,23.19,"23.19 The workpart in a turning operation is 88 mm in diameter and 400 mm long. A feed of 0.25 mm/rev is used in the operation. If cutting speed = 3.5 m/s, the tool must be changed every 3 workparts; but if cutting speed = 2.5 m/s, the tool can be used to produce 20 pieces between tool changes. Determine the cutting speed that will allow the tool to be used for 50 parts between tool changes.",Solution: (1) v = 3.5 m/s = 210 m/min Tm = (0.088 m)(0.4 m)/(210 m/min)(0.00025 m) = 2.106 min T = 3(2.106) = 6.32 min (2) v = 2.5 m/s = 150 m/min Tm = (0.088 m)(0.4 m)/(150 m/min)(0.00025 mm) = 2.949 min T = 20(2.949) = 58.98 min  (1) 210(6.32)n = C  (2) 150(58.98)n = C 210(6.32)n = 150(58.98)n ln 210 + n ln(6.32) = ln 150 + n ln(58.98)
23,23.20,"23.20 In a production turning operation, the steel workpart has a 4.5 in diameter and is 17.5 in long. A feed of 0.012 in/rev is used in the operation. If cutting speed = 400 ft/min, the tool must be changed every four workparts; but if cutting speed = 275 ft/min, the tool can be used to produce 15 pieces between tool changes. A new order for 25 pieces has been received but the dimensions of the workpart have been changed. The new diameter is 3.5 in, and the new length is 15.0 in. The work material and tooling remain the same, and the feed and depth are also unchanged, so the Taylor tool life equation determined for the previous workparts is valid for the new parts. Determine the cutting speed that will allow one cutting tool to be used for the new order.",Solution: (1) v = 400 ft/min Tm = (4.5 in)(17.5 in)/(400 x 12 in/min)(0.012 in) = 4.295 min T = 4(4.295) = 17.18 min (2) v = 275 ft/min Tm = (4.5 in)(17.5 in)/(275 x 12 in/min)(0.012 in) = 6.247 min T = 15(6.247) = 93.71 min  (1) 400(17.18)n = C  (2) 275(93.71)n = C 400(17.18)n = 275(93.71)n ln 400 + n ln(17.18) = ln 275 + n ln(93.71)
23,23.21,23.21 The outside diameter of a cylinder made of a steel alloy is to be turned. The starting diameter is 300 mm and the length is 625 mm. The feed is 0.35 mm/rev and the depth of cut is 2.5 mm. The cut will be made with a cemented carbide cutting tool whose Taylor tool life parameters are: n = 0.24 and C = 450. Units for the Taylor equation are min for tool life and m/min for cutting speed. Compute the cutting speed that will allow the tool life to be just equal to the cutting time for three of these parts.,"Solution: In this problem we want 3Tm = T, where Tm = machining time per piece and T = tool life. Both of these times must be expressed in terms of cutting speed. Tm = DL/fv and T = (C/v)1/n Tm = (300)(625)(10-6)/0.35(10-3)v = 1683/v = 1683 (v)-1 3Tm = 3(1683 (v)-1) = 5049(v)-1 T = (450/v)1/.24 = (450/v)4.1667 = 4504.1667(v)-4.1667 = 1135(108)(v)-4.1667 Setting 3Tm = T: 5049v-1 = 1135(108)(v)-4.1667"
23,23.22,"23.22 Specify the ANSI C-grade or grades (C1 through C8 in Table 23.5) of cemented carbide for each of the following situations: (a) turning the diameter of a high carbon steel shaft from 4.2 in to 3.5 in, (b) making a final face milling pass using a shallow depth of cut and feed on a titanium part, (c) boring out the cylinders of an alloy steel automobile engine block prior to honing, and (d) cutting the threads on the inlet and outlet of a large brass valve.","Solution: (a) High carbon steel limits choice to grades C5-C8. A large amount of material is being removed so it is a roughing cut. C5 or C6 could be used, depending on the finish required after the process is complete.  (b) Titanium limits the choice of grades to C1-C4. Small feed and depth of cut indicate a finish pass. Depending on the finish requirements, C3 or C4 would be selected.  (c) Alloy steel limits the choice of grades to C5-C8. Boring cylinders requires precision finishing. Choose either C7 or C8  (d) Brass limits the choice of grades to C1-C4. This is a finishing operation that could use C3 or C4."
23,23.23,"23.23 A certain machine shop uses four cemented carbide grades in its operations. The chemical composition of these grades are as follows: Grade 1 contains 95% WC and 5% Co; Grade 2 contains 82% WC, 4% Co, and 14% TiC; Grade 3 contains 80% WC, 10% Co, and 10% TiC; and Grade 4 contains 89% WC and 11% Co. (a) Which grade should be used for finish turning of unhardened steel? (b) Which grade should be used for rough milling of aluminum? (c) Which grade should be used for finish turning of brass? (d) Which of the grades listed would be suitable for machining cast iron? For each case, explain your recommendation.",Solution: (a) Finish turning of unhardened steel. Specify a steel-cutting grade suitable for finishing. This is a grade with TiC and low cobalt. Choose grade 2. (b) Rough milling of aluminum. Specify a non-steel roughing grade. This is a grade with no TiC and high cobalt. Choose grade 4.  (c) Finish turning of brass. Specify a non-steel finishing grade. This is a grade with no TiC and low cobalt. Choose grade 1.  (d) Machining cast iron. Cast iron is included with the non-steel grades. Specify grade 1 for finishing and grade 4 for roughing.
23,23.24,"23.24 List the ISO R513-1975(E) group (letter and color in Table 23.6) and whether the number would be toward the lower or higher end of the ranges for each of the following situations: (a) milling the head gasket surface of an aluminum cylinder head of an automobile (cylinder head has a hole for each cylinder and must be very flat and smooth to mate up with the block), (b) rough turning a hardened steel shaft, (c) milling a fiber-reinforced polymer composite that requires a precise finish, and (d) milling the rough shape in a die made of steel before it is hardened.","Solution: (a) Aluminum would be the K (red) group. Milling the surface with large holes in it will create shock loading on the tool. This will require higher toughness. Because it is a finish cut, it will require higher hardness. A mid-range number will provide both. Move towards the low numbers for higher hardness if possible. (b) Hardened steel shaft would indicate group P (blue). Rough cut would require higher toughness so choose a higher number  (c) Composite is a nonmetallic and would use group K (red). Precise machining would require a high hardness (lower number).  (d) Steel would indicate the P (blue) group. Rough milling would indicate a higher toughness and thus a high number."
23,23.25,"23.25 A turning operation is performed on a steel shaft with diameter = 5.0 in and length = 32 in. A slot or keyway has been milled along its entire length. The turning operation reduces the shaft diameter. For each of the following tool materials, indicate whether it is a reasonable candidate to use in the operation: (a) plain carbon steel, (b) high-speed steel, (c) cemented carbide, (d) ceramic, and (e) sintered polycrystalline diamond. For each material that is not a good candidate, give the reason why it is not.","Solution: The lengthwise slot results in an interrupted cut, so toughness is important in the tool material. (a) Plain carbon steel: not economical because of low cutting speeds.  (b) HSS: this is a reasonable candidate; it has good toughness for the interrupted cut.  (c) Cemented carbide: this is a reasonable candidate; it must be a steel cutting grade with high toughness (high cobalt content).  (d) Ceramic: this is not a good candidate because of its low toughness; it is likely to fracture during interrupted cutting.  (e) Sintered polycrystalline diamond: SPD is not suitable for cutting steel.  Cutting Fluids"
23,23.26,"23.26 In a milling operation with no coolant, a cutting speed of 500 ft/min is used. The current cutting conditions (dry) yield Taylor tool life equation parameters of n = 0.25 and C = 1300 (ft/min). When a coolant is used in the operation, the cutting speed can be increased by 20% and still maintain the same tool life. Assuming n does not change with the addition of coolant, what is the resulting change in the value of C?","Solution: Find the present tool life T vTn = C; T = (C/v)(1/n) T = (1300/500)(1/.25) = 2.604.0 = 45.7 min After coolant, the new cutting speed would be 500(1+.20) = 600 If the tool life stays the same, C = vTn = 600(45.7).25 = 1560 % increase in C = (1560-1500)/1500 = 20% Note: When viewing the log-log plot of the Taylor tool life curve, it is a straight line. Since n, the slope, is not affected by the coolant, the coolant effectively raises the line on the graph. Raising the curve so that it increases the value of v by a certain percentage will increase C by the same percentage. This is true independent of the values of n and C."
23,23.27,"23.27 In a turning operation using high-speed steel tooling, cutting speed = 110 m/min. The Taylor tool life equation has parameters n = 0.140 and C = 150 (m/min) when the operation is conducted dry. When a coolant is used in the operation, the value of C is increased by 15%. Determine the percent increase in tool life that results if the cutting speed is maintained at 110 m/min.",Solution: Dry: 110(T)0.14 = 150 T = (150/110)1/.14 = (1.364)7.143 = 9.18 min With coolant: 110(T)0.14 = 150(1 + 15%) = 150(1.15) = 172.5 T = (172.5/110)1/.14 = (1.568)7.143 = 24.85 min Increase = (24.85 – 9.18)/9.18 = 1.71 = 171%
23,23.28,"23.28 A production turning operation on a steel workpiece normally operates at a cutting speed of 125 ft/min using high-speed steel tooling with no cutting fluid. The appropriate n and C values in the Taylor equation are given in Table 23.2 in the text. It has been found that the use of a coolant type cutting fluid will allow an increase of 25 ft/min in the speed without any effect on tool life. If it can be assumed that the effect of the cutting fluid is simply to increase the constant C by 25, what would be the increase in tool life if the original cutting speed of 125 ft/min were used in the operation?","Solution: From Table 23.2, n = 0.125 and C = 200 for dry cutting. With cutting fluid, C = 200 + 25 = 225. Dry: at v = 125 ft/min, T = (200/125)1/.125 = (1.6)8 = 42.95 min With cutting fluid: at v = 125 ft/min, T = (225/125)1/.125 = (1.8)8 = 110.2 min Increase = (110.2 -42.95) = 67.25 min = 156.6%"
23,23.29,"23.29 A high speed steel 6.0 mm twist drill is being used in a production drilling operation on mild steel. A cutting oil is applied by the operator by brushing the lubricant onto the drill point and flutes prior to each hole. The cutting conditions are: speed = 25 m/min, and feed = 0.10 mm/rev, and hole depth = 40 mm. The foreman says that the ""speed and feed are right out of the handbook"" for this work material. Nevertheless, he says, ""the chips are clogging in the flutes, resulting in friction heat, and the drill bit is failing prematurely due to overheating."" What's the problem? What do you recommend to solve it?","Solution: There are several problems here. First, the depth-to-diameter ratio is 1.75:0.25 = 7:1, which is greater than the 4:1 which is usually recommended. As a consequence the chips produced in the hole are having difficulty exiting, thus causing overheating of the drill. Second, the manual method of applying the cutting oil may not be particularly effective. Third, with overheating as a problem, the cutting oil may not be removing heat from the operation effectively. Recommendation: The 7:1 depth-to-diameter ratio is a given, a requirement of the drilling operation, and we assume it cannot be changed. The twist drill might be operated in a peck-drilling mode to solve the chip clogging problem. Peck-drilling means drilling for a distance approximately equal to one drill diameter, then retract the drill, then drill some more, etc. A twist drill with a fluid hole could be used to more effectively deliver the cutting fluid to the drill point to help extract the chips. Finally, an emulsified oil might be tried in the operation, one with good lubricating qualities, as a substitute for the cutting oil. Since overheating is a problem, it makes sense to try a coolant."
22,22.01,"22.01 A cylindrical workpart 200 mm in diameter and 700 mm long is to be turned in an engine lathe. Cutting speed = 2.30 m/s, feed = 0.32 mm/rev, and depth of cut = 1.80 mm. Determine (a) cutting time, and (b) metal removal rate.","Solution: (a) N = v(πD) = (2.30 m/s)/0.200S = 3.66 rev/s fr = Nf = 6.366(.3) = 1.17 mm/s Tm = L/fr = 700/1.17 = 598 s = 9.96 min Alternative calculation using Eq. (22.5), Tm (&#19;&#12; π(&#21;&#12; &#3; &#3; Q (b) RMR = vfd = (2.30 m/s)(103)(0.32 mm)(1.80 mm) = 1320 mm3/s"
22,22.02,"22.02 In a production turning operation, the foreman has decreed that a single pass must be completed on the cylindrical workpiece in 5.0 min. The piece is 400 mm long and 150 mm in diameter. Using a feed = 0.30 mm/rev and a depth of cut = 4.0 mm, what cutting speed must be used to meet this machining time requirement?",Solution: Starting with Eq. (22.5): Tm = DoL/vf. Rearranging to determine cutting speed: v = DoL/fTm v = (0.4)(0.15)/(0.30)(10-3)(5.0) = 0.1257(103) m/min = 125.7 m/min
